alpha,V0,EPS,kz,tier,group,stream,gamma_theory,kz_peak_theory,status,gamma_sim,r2,t0,t1
0.25,0.1,0.225,1.75,quarter,magnitude_check,t133,0.1155790689385468,1.846881012493074,OK,0.10412,0.9803,4.0,63.93
0.25,0.1,0.45,1.75,quarter,magnitude_check,t133,0.1253069634902579,1.6665879949535334,OK,0.11069,0.982,2.0,63.93
0.4,0.1,0.225,2.25,quarter,magnitude_check,t133,0.1384052291045253,2.1304310712147325,OK,0.12386,0.9817,1.0,63.93
0.25,0.05,0.45,2.0,int,magnitude_check,t133,0.0845479251699315,1.8813204526124632,OK,0.06672,0.9823,0.0,183.8
0.2,0.03,0.45,2.0,int,magnitude_check,t133,0.0559044962214715,2.0455011489476425,OK,0.04391,0.9807,0.0,288.69
0.4,0.03,0.3,2.5,half,magnitude_check,t133,0.0702328145337154,2.582571743782056,OK,0.05413,0.9804,0.0,232.75
0.25,0.05,0.3,2.5,half,magnitude_check,t133,0.0827264402961012,2.3979052626064097,OK,0.06363,0.9821,0.0,193.79
0.2,0.03,0.45,2.5,half,cascade_anchor,t133,0.0559044962214715,2.0455011489476425,OK,0.04395,0.981,0.0,288.69
0.4,0.05,0.225,2.25,quarter,magnitude_check,t133,0.0950367436284984,2.3521806734875863,OK,0.07121,0.9802,0.0,173.81
0.2,0.03,0.225,2.25,quarter,magnitude_check,t133,0.0533711677986405,2.1902996287014846,OK,0.04036,0.9821,0.0,314.66
0.2,0.05,0.1,2.25,quarter,magnitude_check,t133,0.0673993600281645,2.135899232305816,OK,0.04485,0.994,0.0,288.93
0.25,0.03,0.225,2.25,quarter,magnitude_check,t133,0.057782705243815,2.34769864047144,OK,0.0438,0.9822,0.0,288.69
0.3,0.03,0.1,2.75,quarter,magnitude_check,t133,0.0572751527157286,2.7828173893958423,OK,0.03817,0.9809,0.0,328.92
0.3,0.1,0.225,2.0,int,magnitude_check,t140,0.1239845433043257,1.941740603188487,OK,0.11239,0.9821,3.0,63.93
0.4,0.1,0.1,3.0,int,cascade_anchor,t140,0.1198303738282103,2.3687955731996984,OK,0.10468,0.9803,3.0,63.98
0.2,0.1,0.15,1.75,quarter,magnitude_check,t140,0.0985027898637857,1.827570711408295,OK,0.08664,0.9812,6.99,63.93
0.3,0.1,0.3,1.75,quarter,magnitude_check,t140,0.1286808217338957,1.863660267656711,OK,0.11539,0.9806,2.0,63.93
0.3,0.1,0.45,1.75,quarter,magnitude_check,t140,0.1338825816518661,1.7595531536143425,OK,0.11793,0.9813,1.0,63.93
0.4,0.03,0.225,3.0,int,magnitude_check,t140,0.0693951508026446,3.022041782465631,OK,0.05324,0.9828,0.0,236.75
0.25,0.05,0.225,2.0,int,magnitude_check,t140,0.0803353632152814,2.044452497873709,OK,0.0593,0.9803,0.0,208.78
0.2,0.05,0.225,2.0,int,magnitude_check,t140,0.0741282708790325,1.8968415831402905,OK,0.05518,0.9821,0.0,223.76
0.4,0.05,0.15,2.5,half,magnitude_check,t140,0.0920604665827768,2.4723052834011625,OK,0.06684,0.9838,0.0,183.8
0.25,0.03,0.3,2.5,half,magnitude_check,t140,0.0594808928794121,2.590910077047839,OK,0.04629,0.9825,0.0,272.71
0.3,0.03,0.225,2.5,half,magnitude_check,t140,0.0616396172339505,2.49787543308881,OK,0.04754,0.9831,0.0,264.72
0.4,0.05,0.45,2.25,quarter,magnitude_check,t140,0.0991564943297942,2.1419626061388275,OK,0.07839,0.9814,0.0,156.83
0.2,0.03,0.3,2.25,quarter,magnitude_check,t140,0.0542933542493221,2.132380236799948,OK,0.04262,0.9829,0.0,296.68
0.2,0.05,0.3,2.25,quarter,magnitude_check,t140,0.0760430343396477,2.374956881471342,OK,0.05814,0.9811,0.0,212.77
0.2,0.03,0.45,1.75,quarter,cascade_anchor,t140,0.0559044962214715,2.0455011489476425,OK,0.04374,0.9816,0.0,288.69
0.2,0.03,0.45,2.25,quarter,cascade_anchor,t140,0.0559044962214715,2.0455011489476425,OK,0.04399,0.9808,0.0,288.69
