kz,alpha,V0,eps,xi_sponge,gamma_chased
5.0,2.0,0.1,0.15,8.0,0.2363672238737329
2.5,2.1,0.1,0.15,8.0,0.21724848749419914
5.0,2.1,0.2,0.15,8.0,0.37585145410071386
5.0,2.2,0.01,0.15,22.0,0.05919200151155684
2.5,2.5,0.01,0.15,22.0,0.053973866945545346
2.5,2.5,0.1,0.15,8.0,0.22521595503931358
5.0,2.5,0.2,0.15,8.0,0.4040122226429871
5.0,1.8,0.2,0.15,8.0,0.34974238479821507
2.5,1.8,0.2,0.15,8.0,0.2992794101107029
2.5,1.9,0.01,0.15,22.0,0.050324563899944774
5.0,1.9,0.2,0.15,8.0,0.3589099953939042
6.0,0.6,0.03,0.15,10.0,0.06852225212592715
6.0,0.7,0.05,0.15,8.0,0.09488075111076408
6.0,0.9,0.05,0.15,8.0,0.10650391025538673
6.0,0.9,0.1,0.15,8.0,0.15683087797859238
6.0,1.0,0.2,0.15,8.0,0.24501557627741205
6.0,1.1,0.01,0.15,12.0,0.04605509038752871
6.0,1.2,0.2,0.15,8.0,0.2701228106526492
6.0,1.3,0.2,0.15,8.0,0.2820014180998371
2.5,3.0,0.2,0.15,8.0,0.3356807664223459
5.0,4.0,0.1,0.15,8.0,0.3100483263605676
6.0,0.4,0.2,0.15,8.0,0.15171996190401563
6.0,0.5,0.2,0.15,8.0,0.17025169082574673
5.0,2.8,0.2,0.15,8.0,0.41999378294566286
2.5,2.9,0.05,0.15,8.0,0.15092510959132432
2.5,3.0,0.03,0.15,10.0,0.11276567216318772
5.0,3.0,0.2,0.15,8.0,0.42819465403336543
6.0,2.4,0.2,0.15,8.0,0.3904245878365501
6.0,2.5,0.01,0.15,8.0,0.059103916868524356
6.0,2.5,0.2,0.15,8.0,0.39838486034948145
6.0,2.6,0.2,0.15,8.0,0.4060076192932203
6.0,2.0,0.01,0.15,8.0,0.05482254483672653
6.0,2.0,0.02,0.15,8.0,0.08583088854987146
6.0,2.1,0.2,0.15,8.0,0.36460461944271183
6.0,2.2,0.2,0.15,8.0,0.3735268437197355
6.0,1.6,0.01,0.15,8.0,0.050745356601047564
6.0,1.7,0.2,0.15,8.0,0.3258540800590066
6.0,1.8,0.2,0.15,8.0,0.33600025804072453
6.0,1.9,0.2,0.15,8.0,0.3458395043950807
2.5,2.6,0.05,0.15,7.0,0.14163456590501136
2.5,2.6,0.1,0.15,8.0,0.22669152437674017
2.5,2.7,0.2,0.15,8.0,0.7202875331413967
2.5,2.8,0.01,0.15,22.0,0.055512877030195446
3.5,0.6,0.1,0.15,8.0,0.14315473082958785
7.0,0.6,0.2,0.15,8.0,0.17667187677833937
7.0,0.7,0.05,0.15,9.0,0.09221723804437634
3.5,0.7,0.05,0.15,9.0,0.10371712869696018
6.0,2.8,0.2,0.15,8.0,0.42020335411255394
7.0,0.3,0.2,0.15,8.0,0.12352392541585955
7.0,0.4,0.2,0.15,8.0,0.1431708014960143
7.0,0.6,0.05,0.15,8.0,0.08444894673438297
3.5,0.7,0.1,0.15,8.0,0.1533037862661013
7.0,0.8,0.05,0.15,8.0,0.09684936751093232
7.0,0.8,0.2,0.15,8.0,0.20554332722233845
3.5,0.9,0.03,0.15,10.0,0.08423697147597424
7.0,1.4,0.03,0.15,8.0,0.09375479384770315
3.5,1.4,0.05,0.15,8.0,0.13135055373634447
3.5,1.5,0.03,0.15,8.0,0.09619839970046269
7.0,1.5,0.05,0.15,7.0,0.1271400137728631
7.0,0.9,0.05,0.15,8.0,0.1023832052382194
3.5,0.9,0.1,0.15,8.0,0.17097016746616034
3.5,1.0,0.03,0.15,10.0,0.08743686665557651
3.5,1.0,0.1,0.15,8.0,0.17877050484309803
3.5,1.1,0.2,0.15,8.0,0.28752470304867395
7.0,1.2,0.03,0.15,8.0,0.08767501230185826
7.0,1.2,0.2,0.15,8.0,0.255518051755395
3.5,1.3,0.05,0.15,8.0,0.12785389235722963
7.0,1.6,0.03,0.15,8.0,0.0992772564789329
3.5,1.6,0.03,0.15,8.0,0.09830578433680931
7.0,1.7,0.03,0.15,8.0,0.1018633049265946
7.0,1.7,0.2,0.15,8.0,0.3095644578098591
3.5,1.8,0.1,0.15,8.0,0.22551478957107265
3.5,1.8,0.2,0.15,8.0,0.34765071862931785
3.5,1.9,0.03,0.15,8.0,0.10403942498123947
7.0,1.9,0.2,0.15,8.0,0.3294079835582549
7.0,2.4,0.2,0.15,8.0,0.37536380826378724
3.5,2.5,0.01,0.15,22.0,0.058333105382781233
7.0,2.5,0.2,0.15,8.0,0.38394001174605874
7.0,2.6,0.1,0.15,8.0,0.25182309491702426
7.0,2.2,0.01,0.15,8.0,0.057088565010668196
3.5,2.3,0.1,0.15,8.0,0.24548259699067437
3.5,2.4,0.05,0.15,10.0,0.164460492188714
7.0,2.4,0.1,0.15,8.0,0.24228386245648065
3.5,2.0,0.05,0.15,8.0,0.14882305501970094
3.5,2.0,0.1,0.15,8.0,0.23415759177566164
3.5,2.0,0.2,0.15,8.0,0.357256665919789
3.5,2.1,0.03,0.15,8.0,0.10745735047508252
7.0,2.7,0.2,0.15,8.0,0.4004472885214921
7.0,2.8,0.01,0.15,8.0,0.06212145621671205
3.5,2.8,0.1,0.15,8.0,0.26069138405343484
7.0,2.8,0.2,0.15,8.0,0.4083637220575387
3.5,2.9,0.01,0.15,22.0,0.060717309737882294
7.0,2.9,0.01,0.15,8.0,0.06287647912781852
3.5,2.9,0.05,0.15,10.0,0.17408632344908426
3.5,2.9,0.1,0.15,8.0,0.2632536368497879
3.5,2.6,0.1,0.15,8.0,0.25510734887749736
